ID,External ID,Db Created Time,Created From,City Code,Facility ID,Category,Skill,Livo Unit,Professional Field,Status,Livo Review Status,Perks,Current Pending Claim,Current Accepted Claim,Details,Job Description,Meta Description,Salary Min,Salary Max,Salary Period,Payment Note,Contract Type,Start Date Type,Start Date,Contract Duration Type,End Date,Schedule Types,Schedule Details,Other Requirements,Is Internal,Publication Time,Cancellation Reason,Closed Reason,Closed By,Closed At,Display Prioritised,Agent Description
1,TLHB240808ZRB,2024-08-06T13:28:54.361404,,BCN,1,ENF,HOSPITALIZATION,MEDICAL_SURGICAL_HOSPITALIZATION,,CLOSED,VERIFIED,,6,1,"El Primer Dia Presentarse En La Planta 7
 En Direccion De Enfermeria 
10 Minutos Antes Del Inicio De Cada Turno Es Obligatorio Traer Calzado Blanco ",,,3000.0,,TOTAL,Updated Payment Note,TEMPORAL,SPECIFIC_DATE,2024-08-08,,,"EVENING,NIGHT",,Que Sea De Madrid Y Hable Frances,True,,,MANUALLY,FACILITY,2025-06-20T15:58:16.490067,False,
2,TLHB240852HET,2024-08-06T13:38:10.658018,,BCN,1,ENF,HOSPITALIZATION,MEDICAL_SURGICAL_HOSPITALIZATION,,CLOSED,VERIFIED,"UNIFORM, PARKING",1,1,El Primer Dia Presentarse En La Planta 7 En Direccion De Enfermeria 10 Minutos Antes Del Inicio De Cada Turno Es Obligatorio Traer Calzado Blanco,,,35000.0,,,El Pago Sera Realizado Por El Hospital En Los Primeros Dias Del Mes Siguiente,TEMPORAL,SPECIFIC_DATE,2024-08-11,,,,,Que Sea De Madrid Y Habla Frances,True,,,MANUALLY,FACILITY,2025-04-14T07:49:43.916922,False,
3,MTT240811HNY,2024-08-20T14:27:48.394596,,BCN,9,ENF,HOSPITALIZATION,MEDICAL_SURGICAL_HOSPITALIZATION,,CANCELED,VERIFIED,"UNIFORM, PARKING",27,0,"- Una semana: Lunes y Martes en turnos de noche Viernes, Sabado y Domingo en turnos de mañana.
- Siguiente semana: Martes, Miercoles y Jueves en turno de noche",,,38000.0,,TOTAL,,PERMANENT,SPECIFIC_DATE,2024-08-20,,,"MORNING, EVENING",,,False,,created by mistake,,,,False,
4,MTT240857WRQ,2024-08-20T14:33:50.304653,,BCN,9,ENF,HOSPITALIZATION,MEDICAL_SURGICAL_HOSPITALIZATION,,CANCELED,VERIFIED,"UNIFORM, PARKING",7,0,"- Turno combinado: mañanas y tardes.
- Calendario adjudicado.
- Se trabajan dos fines de semana al mes.",,,34000.0,,TOTAL,,PERMANENT,SPECIFIC_DATE,2024-08-20,,,"MORNING, EVENING",,,False,,created by mistake,,,,False,
5,MTU240862XVO,2024-08-20T14:38:59.336561,,BCN,77,ENF,HOSPITALIZATION,MEDICAL_SURGICAL_HOSPITALIZATION,,CLOSED,VERIFIED,"UNIFORM, PARKING",12,0,"RESPONSABLE SANITARIO A RESIDENCIA CORNELLA Principales Funciones:

- Garantizar condiciones higiénicas y sanitarias de usuarios, personal y centro.
- Velar por una atención digna y mejorar la calidad asistencial.
- Colaborar con la dirección en objetivos y proyectos de mejora.
- Coordinar y supervisar al personal de enfermería y auxiliares.
- Gestionar la acogida y adaptación de nuevas incorporaciones.
- Detectar necesidades formativas y colaborar en formación continua.
- Elaborar y asegurar el cumplimiento de protocolos.
- Compaginar funciones de RHS con tareas de enfermería.","¿Buscas un empleo como enfermera en una residencia de Barcelona? La Residencia y Centro de Día MUTUAM Jaume Nualart necesita cubrir una vacante de responsable sanitario en su centro de Cornellà.

Qué buscamos:
Enfermera con experiencia para desempeñar las siguientes funciones como responsable sanitario: garantizar las condiciones higiénicas y sanitarias, velar por la atención digna y mejora de la calidad asistencial, colaborar con dirección en objetivos y proyectos, coordinar y supervisar al personal de enfermería y auxiliares, gestionar acogida e integración de nuevas incorporaciones, detectar necesidades formativas y colaborar en formación continua, elaborar y asegurar cumplimiento de protocolos, además de compaginar tareas propias de enfermería.

Qué ofrecemos:
Contrato indefinido a jornada completa con salario entre 29.000€ y 33.000€ brutos anuales. Uniforme y parking gratuito en las instalaciones.

Si cuentas con la formación y experiencia necesarias, aplica en Livo para esta oferta de empleo en Barcelona.","Empleo enfermera responsable sanitario en residencia Barcelona. Contrato indefinido, 29-33K€, parking gratis. Vacante en Cornellà. ¡Aplica ya!",29000.0,,TOTAL,,PERMANENT,SPECIFIC_DATE,2024-11-01,,2024-11-01,"MORNING, EVENING",,,False,,,,,,False,
6,DVM240868ZMM,2024-08-20T14:46:40.423084,,BCN,63,ENF,HEMODIALYSIS,HEMODIALYSIS,,CLOSED,VERIFIED,UNIFORM,19,0,"- Máximo de 5 pacientes a cargo simultáneamente hasta septiembre.
- Hasta septiembre: 4 turnos por semana de 11 horas cada uno
- A partir de octubre: 3 turnos por semana con una semana de 4 turnos de 11 horas.
- Horario: de 6:30 a 17:30 h.",,,33000.0,,TOTAL,Seguro médico al año de antiguedad,PERMANENT,SPECIFIC_DATE,2024-11-06,,2024-11-06,"MORNING, EVENING",,,False,,,,,,False,
7,HDB240998BVS,2024-08-21T08:14:45.448363,,BCN,7,ENF,HOSPITALIZATION,MEDICAL_SURGICAL_HOSPITALIZATION,,CLOSED,VERIFIED,"UNIFORM, PARKING",34,0,"- Contrato indefinido con posibilidades de ser socio/a de la cooperativa.
- Carrera profesional de 4 niveles.
- Póliza de salud subvencionada.
- Para graduadas/os 2024.
- Subvención de la matrícula del 4° curso.","Si estás buscando un nuevo reto profesional en el que desarrollar tu carrera como enfermera/o en un entorno de calidad, esta podría ser tu oportunidad. El Hospital de Barcelona, situado en la ciudad condal, busca incorporar a profesionales de enfermería para su área de hospitalización.

¿Qué buscamos?
- Estamos buscando una enfermera/o colegiada/o para incorporarse al equipo de hospitalización.
- Personas graduadas en enfermería en 2024 o años posteriores.
- Se valorará experiencia previa en un área de hospitalización, aunque no es imprescindible.

¿Qué ofrecemos?
- Contrato indefinido con posibilidades de ser socio/a de la cooperativa.
- Carrera profesional de 4 niveles.
- Póliza de salud subvencionada.
- Subvención de la matrícula del 4º curso.
- Salario entre 35.000€ y 40.000€ brutos anuales.
- Uniforme y parking gratuitos.

Aplica en Livo si buscas un empleo estable en un hospital de referencia, con excelentes condiciones laborales y un amplio abanico de beneficios sociales.","Empleo de enfermería en Hospital de Barcelona: contrato indefinido, salario 35-40K€, beneficios sociales y desarrollo profesional. ¡Aplica ahora!",35000.0,,TOTAL,Nocturnidad Aparte,PERMANENT,SPECIFIC_DATE,2024-11-06,,2024-11-06,"MORNING, EVENING, NIGHT",,Preferible Experiencia En Un Area De Hospitalizacion Aunque No Es Imprescindible,False,,,,,,False,
8,CCU240973MXW,2024-08-28T08:37:06.914275,,BCN,46,ENF,HOSPITALIZATION,MEDICAL_SURGICAL_HOSPITALIZATION,,CLOSED,VERIFIED,"PARKING, UNIFORM",17,0,"Enferemera de Hospitlización Intermedia

Asistencial. Atención enfermera en pacientes de Atención intermedia, larga estancia, convalescencia y cuidados paliativos.

Centro bien comunicado. Estación de tren de Vilassar de Mar. Fácil acceso con vehículo. Posibilidad de parking dentro del recinto.

Horario de trabajo - Turno de noche.
Semana 1  - lunes, miercoles, sabado y domingo 
Semana 2 - martes, jueves, y viernes

","¿Estás buscando una oportunidad laboral en un entorno hospitalario de calidad? En el Casal de Curació, ubicado en Barcelona, necesitamos cubrir un puesto de enfermera para la unidad de hospitalización intermedia.

Este centro, bien comunicado y con fácil acceso tanto en transporte público (estación de tren de Vilassar de Mar) como en vehículo propio (con posibilidad de parking dentro del recinto), te ofrece la oportunidad de desarrollar tu carrera profesional en un ambiente estimulante y retador.

¿Qué buscamos?

Una enfermera con vocación asistencial para brindar atención de calidad a pacientes de atención intermedia, larga estancia, convalecencia y cuidados paliativos. Se requiere titulación de enfermería y experiencia previa en un entorno similar.

¿Qué ofrecemos?

- Contrato indefinido a jornada completa.
- Salario entre 37.000€ y 40.000€ brutos anuales.
- Beneficios sociales como parking y uniforme.
- Horario a turnos: Semana 1 (lunes, miércoles, sábado y domingo noche) y Semana 2 (martes, jueves y viernes noche).

Si buscas estabilidad laboral y un entorno profesional desafiante, aplica en Livo para esta oportunidad en el Casal de Curació.","Enfermera en Barcelona: Puesto indefinido en Casal de Curació. 37.000-40.000€/año, turnos nocturnos, park gratuito. ¡Aplica ya en Livo!",37000.0,,TOTAL,"Salario bruto annual: 37.046,43€
Salario bruto mensual: 2.646,17€
Plus nocturnidad anual: 5.668,62€
Plus sábado: 3,27€/h
Plus domingo: 6,54€/h
Plus festivo: 10,84€/h",PERMANENT,SPECIFIC_DATE,2024-11-16,,2024-11-16,NIGHT,,,False,,,,,,False,
9,KON240940WXP,2024-08-28T10:12:26.974556,,BCN,72,ENF,PEDIATRIC,MEDICAL_HOSPITALIZATION,PEDIATRICS,CANCELED,VERIFIED,PARKING,14,0,"Detalles de la oferta
El paciente necesita 1 transfusión de un medicamento semanal de un medicamento que se tiene que ir introduciendo poco a poco de manera intravenosa con una pequeña bomba. Los pacientes llevan un portacat. Duración de la medicación aprox 2 horas. Luego cada 30 minutos hasta esas 6 horas hay que tomarle las constantes y temperatura.

Formación 
Experiencia en Pediatría (niños de 4-13 años), conocimiento de uso de la bomba para la transfusión del medicamento. Se hara una formación previa. 

Horario
Turnos Disponibles: 3 de cada 4 martes, de 15:30 a 21:30 en la vivienda del paciente - Sant Gervasi, Barcelona.

Duración del Turno
Fecha de Inicio: Cuanto antes
Fecha de Finalización: Mínimo hasta septiembre/2025

Ubicación
El turno se realiza en un domicilio en Sant Gervasi no es necesario ir a las oficinas de Konic Health.",,,500.0,,MONTH,"Salario Ofrecido: 25 euros la hora, aprox 500 euros al mes por 20 horas mensuales

Beneficios Adicionales: Se paga por el tiempo de desplazamiento (25 euros/hora) + kilometraje de coche si lo hubiera",TEMPORAL,SPECIFIC_DATE,2024-09-03,LESS_THAN_ONE_YEAR,,EVENING,,Se Valora Experiencia En Pediatria Manejo De Ninos De 4 13 Anos,False,,Already sent candidates to the facility,,,,False,
10,HUSR240988LTZ,2024-09-04T14:11:44.408312,,MAD,58,ENF,MIDWIVES,DELIVERY_ROOM,MIDWIVES,CLOSED,VERIFIED,"PARKING, UNIFORM, MEAL",16,0,"- Turnos de 12 horas de 9:00 a 21:00 y de 21:00 a 9:00
- Buen ambiente de trabajo, un hospital con + de 130 años de historia centrado en la persona.","¿Buscas una oportunidad laboral en un hospital de prestigio con más de 130 años de historia? El Hospital Universitario San Rafael, situado en Madrid, busca incorporar una matrona a su equipo. Este centro, centrado en la persona, ofrece un excelente ambiente de trabajo.

Qué buscamos:
Matrona con experiencia en el cuidado y atención a mujeres durante el embarazo, parto y posparto. Imprescindible titulación universitaria en Enfermería Obstétrico-Ginecológica (Matrona). Valoraremos positivamente experiencia previa en entornos hospitalarios.

Qué ofrecemos:
- Contrato indefinido a jornada completa.
- Turnos de 12 horas: mañana de 9:00 a 21:00 y noche de 21:00 a 9:00.
- Salario entre 34.000€ y 40.000€ brutos anuales.
- Beneficios sociales: aparcamiento gratuito, uniforme y comida subvencionada.

Si buscas un empleo estable en un entorno hospitalario de calidad, no dudes en aplicar en Livo. ¡Te esperamos!","Únete como matrona al Hospital San Rafael Madrid. Ofrecemos contrato indefinido, salario 34-40K€ y beneficios. ¡Aplica ya en Livo!",34000.0,,TOTAL,"A añadir variables de nocturnidad, domingos o festivos.
",PERMANENT,SPECIFIC_DATE,2024-11-06,,2024-11-06,FLEXIBLE,,,False,,,,,,False,
