facility_id,id,start_time_utc,finish_time_utc,specialization,specialization_display_text,category,capacity,facility_name
35,30469,2025-10-26 19:00:00+00:00,2025-10-27T07:00:00,OPERATING_ROOM,Quirófano,ENF,1,Hospital General de Catalunya
35,30470,2025-11-09 19:00:00+00:00,2025-11-10T07:00:00,OPERATING_ROOM,Quirófano,ENF,1,Hospital General de Catalunya
35,30471,2025-11-16 19:00:00+00:00,2025-11-17T07:00:00,OPERATING_ROOM,Quirófano,ENF,1,Hospital General de Catalunya
35,32541,2025-10-06 20:00:00+00:00,2025-10-07T06:00:00,INTENSIVE_CARE_UNIT,UCI,ENF,1,Hospital General de Catalunya
35,32543,2025-10-05 18:00:00+00:00,2025-10-06T06:00:00,INTENSIVE_CARE_UNIT,UCI,ENF,1,Hospital General de Catalunya
35,32544,2025-10-19 18:00:00+00:00,2025-10-20T06:00:00,INTENSIVE_CARE_UNIT,UCI,ENF,1,Hospital General de Catalunya
35,32545,2025-10-26 19:00:00+00:00,2025-10-27T07:00:00,INTENSIVE_CARE_UNIT,UCI,ENF,1,Hospital General de Catalunya
35,32546,2025-11-09 19:00:00+00:00,2025-11-10T07:00:00,INTENSIVE_CARE_UNIT,UCI,ENF,1,Hospital General de Catalunya
35,32547,2025-11-16 19:00:00+00:00,2025-11-17T07:00:00,INTENSIVE_CARE_UNIT,UCI,ENF,1,Hospital General de Catalunya
35,32548,2025-11-23 19:00:00+00:00,2025-11-24T07:00:00,INTENSIVE_CARE_UNIT,UCI,ENF,1,Hospital General de Catalunya
35,32549,2025-11-30 19:00:00+00:00,2025-12-01T07:00:00,INTENSIVE_CARE_UNIT,UCI,ENF,1,Hospital General de Catalunya
17,35220,2025-10-10 04:00:00+00:00,2025-10-10T12:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,35221,2025-10-13 04:00:00+00:00,2025-10-13T12:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,35222,2025-10-01 04:00:00+00:00,2025-10-01T12:15:00,HOSPITALIZATION,Hospitalización,TCAE,1,Fundació Puigvert
17,35223,2025-12-07 04:00:00+00:00,2025-12-07T12:15:00,HOSPITALIZATION,Hospitalización,TCAE,1,Fundació Puigvert
17,37582,2025-08-14 12:00:00+00:00,2025-08-14T18:00:00,RADIOLOGY,Radiología,ENF,1,Fundació Puigvert
17,38922,2025-07-20 04:00:00+00:00,2025-07-20T12:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38923,2025-09-03 04:00:00+00:00,2025-09-03T12:15:00,HOSPITALIZATION,Hospitalización,ENF,2,Fundació Puigvert
17,38924,2025-09-06 04:00:00+00:00,2025-09-06T12:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38925,2025-09-07 04:00:00+00:00,2025-09-07T12:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38926,2025-09-11 04:00:00+00:00,2025-09-11T12:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38927,2025-09-03 12:00:00+00:00,2025-09-03T20:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38928,2025-09-06 12:00:00+00:00,2025-09-06T20:15:00,HOSPITALIZATION,Hospitalización,ENF,4,Fundació Puigvert
17,38929,2025-09-07 12:00:00+00:00,2025-09-07T20:15:00,HOSPITALIZATION,Hospitalización,ENF,3,Fundació Puigvert
17,38930,2025-09-09 12:00:00+00:00,2025-09-09T20:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38931,2025-09-11 12:00:00+00:00,2025-09-11T20:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38932,2025-09-12 12:00:00+00:00,2025-09-12T20:15:00,HOSPITALIZATION,Hospitalización,ENF,2,Fundació Puigvert
17,38933,2025-09-15 12:00:00+00:00,2025-09-15T20:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38934,2025-09-17 12:00:00+00:00,2025-09-17T20:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38935,2025-09-20 12:00:00+00:00,2025-09-20T20:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38936,2025-09-23 12:00:00+00:00,2025-09-23T20:15:00,HOSPITALIZATION,Hospitalización,ENF,2,Fundació Puigvert
17,38937,2025-09-25 12:00:00+00:00,2025-09-25T20:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38938,2025-09-26 12:00:00+00:00,2025-09-26T20:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38939,2025-09-29 12:00:00+00:00,2025-09-29T20:15:00,HOSPITALIZATION,Hospitalización,ENF,1,Fundació Puigvert
17,38949,2025-09-01 04:00:00+00:00,2025-09-01T12:15:00,HOSPITALIZATION,Hospitalización,TCAE,1,Fundació Puigvert
17,38950,2025-09-03 04:00:00+00:00,2025-09-03T12:15:00,HOSPITALIZATION,Hospitalización,TCAE,2,Fundació Puigvert
17,38951,2025-09-06 04:00:00+00:00,2025-09-06T12:15:00,HOSPITALIZATION,Hospitalización,TCAE,1,Fundació Puigvert
17,38952,2025-09-09 04:00:00+00:00,2025-09-09T12:15:00,HOSPITALIZATION,Hospitalización,TCAE,2,Fundació Puigvert
17,38953,2025-09-11 04:00:00+00:00,2025-09-11T12:15:00,HOSPITALIZATION,Hospitalización,TCAE,1,Fundació Puigvert
17,38954,2025-09-15 04:00:00+00:00,2025-09-15T12:15:00,HOSPITALIZATION,Hospitalización,TCAE,1,Fundació Puigvert
17,38955,2025-09-17 04:00:00+00:00,2025-09-17T12:15:00,HOSPITALIZATION,Hospitalización,TCAE,1,Fundació Puigvert
17,38956,2025-09-23 04:00:00+00:00,2025-09-23T12:15:00,HOSPITALIZATION,Hospitalización,TCAE,1,Fundació Puigvert
17,38957,2025-09-25 04:00:00+00:00,2025-09-25T12:15:00,HOSPITALIZATION,Hospitalización,TCAE,1,Fundació Puigvert
